ABTEILUNG;NUMMER;CODE;NAME;EINHEIT;REF_UNTEN M;REF_OBEN M;REF_UNTEN W;REF_OBEN W
BLUT-CHEMIE;177;***;Liquor/Serum-Albumin;·100;;;;
BLUT-CHEMIE;176;***;Liquor/Serum-IgG;·1000;;;;
BLUT-CHEMIE;10632;***;Liquor/Serum-IgM;·1000;;;;
BLUT-CHEMIE;10631;***;Liquor/Serum-IgA;·1000;;;;
BLUT-CHEMIE;181;***;Liquor-Immunglob.-Index;;<;0.5;<;0.5
BLUT-CHEMIE;141;AAG;a-1-Glycoprotein;g/l;0.4;1.3;0.4;1.3
BLUT-CHEMIE;113;A-A1;Apolipoprotein A-I;g/l;1;2;1.3;2
BLUT-CHEMIE;114;A-A2;Apolipoprotein A-II;g/l;0.2;0.5;0.2;0.5
BLUT-CHEMIE;115;A-B;Apolipoprotein B;g/l;0.6;1.1;0.6;1.1
BLUT-CHEMIE;38650;AcB12;active B12 (holo-TC);pmol/l;>;35;>;35
BLUT-CHEMIE;38653;ACE;ACE;U/l;20;70;20;70
BLUT-CHEMIE;30032;ACE;ACE;U/l;29;112;29;112
BLUT-CHEMIE;10663;ACE;ACE;U/l;9;90;9;90
BLUT-CHEMIE;152;ACE;ACE;U/l;18;55;18;55
BLUT-CHEMIE;213;A-CII;Apolipoprot. C-II;mg/l;21.5;46.7;21.5;46.7
BLUT-CHEMIE;214;A-CIII;Apolipoprot. C-III;mg/l;45.2;104.6;45.2;104.6
BLUT-CHEMIE;37759;ACTH;ACTH;ng/l;3.6;60.5;3.6;60.5
BLUT-CHEMIE;90;ACTH;ACTH;ng/l;9;52;9;52
BLUT-CHEMIE;35195;ACTH-L;ACTH (links);ng/l;9;52;9;52
BLUT-CHEMIE;35309;ACTH-R;ACTH (rechts);ng/l;9;52;9;52
BLUT-CHEMIE;35310;ACTH-Z;ACTH (zentral);ng/l;9;52;9;52
BLUT-CHEMIE;11539;ACTS;Acetyl Salicylsre.;mmol/l;0.4;2.2;0.4;2.2
BLUT-CHEMIE;37659;Adali;Adalimumab Talspiegel;µg/ml;;;;
BLUT-CHEMIE;37660;Adali;Adalimumab-Antikörper;ng/ml;;;;
BLUT-CHEMIE;12626;ADH;Antidiuretisches Hormon;pmol/l;1;4.2;1;4.2
BLUT-CHEMIE;30022;ADH;Antidiuretisches Hormon;pmol/l;<;7.4;<;7.4
BLUT-CHEMIE;29995;Adrenalin; Adrenalin;nmol/l;0.02;1.23;0.02;1.23
BLUT-CHEMIE;116;A-E;Apolipoprotein E;mg/l;30;50;30;50
BLUT-CHEMIE;163;AEP;Apo-E-Phänotyp;;;;;
BLUT-CHEMIE;14097;AFP-DXI;a-Fetoprotein;µg/l;<;13;<;13
BLUT-CHEMIE;43018;AFP-DXI 0-4M;a-Fetoprotein;µg/l;;;;
BLUT-CHEMIE;43019;AFP-DXI 4-9M;a-Fetoprotein;µg/l;<;113;<;113
BLUT-CHEMIE;43020;AFP-DXI 9M-2.5J;a-Fetoprotein;µg/l;<;40;<;40
BLUT-CHEMIE;22334;Agom;Agomelatin;µg/l;7;300;7;300
BLUT-CHEMIE;277;Al;Aluminium;µmol/l;<;0.37;<;0.37
BLUT-CHEMIE;13764;Al;Aluminium;µmol/l;<;0.3;<;0.3
BLUT-CHEMIE;14598;Alb-AU;Albumin (chem.);g/l;34;48;34;48
BLUT-CHEMIE;29675;Albenda;Albendazolsulfoxid;µmol/l;>;1;>;1
BLUT-CHEMIE;100;ALBU;Albumin (INA);g/l;37;53;37;53
BLUT-CHEMIE;11051;ALBU-H0;Albumin (chem.);g/l;28;44;28;44
BLUT-CHEMIE;11052;ALBU-H14;Albumin (chem.);g/l;38;54;38;54
BLUT-CHEMIE;11053;ALBU-H18;Albumin (chem.);g/l;32;45;32;45
BLUT-CHEMIE;104;ALBU-L;Albumin Liquor;g/l;0.06;0.24;0.06;0.24
BLUT-CHEMIE;189;Aldo;Aldosteron:;pmol/l;;;;
BLUT-CHEMIE;11585;Aldo;Aldosteron;pmol/l;140;4850;140;4850
BLUT-CHEMIE;30103;Aldo;Aldosteron;pmol/l;;;;
BLUT-CHEMIE;10603;Aldo;Aldosteron;pmol/l;140;2490;140;2490
BLUT-CHEMIE;11584;Aldo;Aldosteron;pmol/l;190;5100;190;5100
BLUT-CHEMIE;10604;Aldo;Aldosteron;pmol/l;190;1500;190;1500
BLUT-CHEMIE;21444;Aldo liegend; liegend;pmol/l;27;444;27;444
BLUT-CHEMIE;30105;Aldo liegend; liegend;pmol/l;48.7;642.6;48.7;642.6
BLUT-CHEMIE;13788;Aldo ohne Ang.; ohne Angabe;pmol/l;;;;
BLUT-CHEMIE;30106;Aldo stehend; stehend;pmol/l;69.8;1085.8;69.8;1085.8
BLUT-CHEMIE;21445;Aldo stehend; stehend;pmol/l;111;860;111;860
BLUT-CHEMIE;29833;Aldo-Eval;Aldosteron (Liaison Eval.);pmol/l;;;;
BLUT-CHEMIE;257;Aldolase;Aldolase;U/l;2.2;8.5;2.2;8.5
BLUT-CHEMIE;10743;Aldolase 16;Aldolase;U/l;<;9;<;9
BLUT-CHEMIE;10742;Aldolase 2;Aldolase;U/l;<;12;<;12
BLUT-CHEMIE;37888;Aldo-240;Aldosteron nach 240;;;;;
BLUT-CHEMIE;38520;ALP-AU;ALP;U/l;30;120;;
BLUT-CHEMIE;38751;ALPAU0-14T;ALP;U/l;76;233;76;233
BLUT-CHEMIE;38754;ALPAU10-12;ALP;U/l;119;393;119;393
BLUT-CHEMIE;38753;ALPAU1-10;ALP;U/l;132;315;132;315
BLUT-CHEMIE;38755;ALPAU12-14;ALP;U/l;107;442;52;239
BLUT-CHEMIE;38756;ALPAU14-16;ALP;U/l;75;312;45;108
BLUT-CHEMIE;38752;ALPAU15-1J;ALP;U/l;113;443;113;443
BLUT-CHEMIE;38757;ALPAU16-18;ALP;U/l;49;139;40;80
BLUT-CHEMIE;38525;ALPAU18;ALP;U/l;30;120;30;120
